gameNumber,result,type,Color,expe
20241117100051383,3,Small,green,a
20241117100051382,0,Small,red,pink
20241117100051381,7,Big,green,a
20241117100051380,1,Small,green,a
20241117100051379,0,Small,red,pink
20241117100051378,5,Big,green,pink
20241117100051377,4,Small,red,a
20241117100051376,0,Small,red,pink
20241117100051375,0,Small,red,pink
20241117100051374,8,Big,red,a
20241117100051373,1,Small,green,a
20241117100051372,2,Small,red,a
20241117100051371,0,Small,red,pink
20241117100051370,0,Small,red,pink
20241117100051369,2,Small,red,a
20241117100051368,4,Small,red,a
20241117100051367,8,Big,red,a
20241117100051366,7,Big,green,a
20241117100051365,4,Small,red,a
20241117100051364,2,Small,red,a
20241117100051363,4,Small,red,a
20241117100051362,5,Big,green,pink
20241117100051361,8,Big,red,a
20241117100051360,2,Small,red,a
20241117100051359,2,Small,red,a
20241117100051358,4,Small,red,a
20241117100051357,0,Small,red,pink
20241117100051356,2,Small,red,a
20241117100051355,7,Big,green,a
20241117100051354,7,Big,green,a
20241117100051353,7,Big,green,a
20241117100051352,2,Small,red,a
20241117100051351,2,Small,red,a
20241117100051350,0,Small,red,pink
20241117100051349,6,Big,red,a
20241117100051348,5,Big,green,pink
20241117100051347,5,Big,green,pink
20241117100051346,8,Big,red,a
20241117100051345,3,Small,green,a
20241117100051344,6,Big,red,a
20241117100051343,0,Small,red,pink
20241117100051342,6,Big,red,a
20241117100051341,0,Small,red,pink
20241117100051340,0,Small,red,pink
20241117100051339,7,Big,green,a
20241117100051338,8,Big,red,a
20241117100051337,2,Small,red,a
20241117100051336,9,Big,green,a
20241117100051335,9,Big,green,a
20241117100051334,3,Small,green,a
20241117100051333,2,Small,red,a
20241117100051332,4,Small,red,a
20241117100051331,8,Big,red,a
20241117100051330,7,Big,green,a
20241117100051329,5,Big,green,pink
20241117100051328,2,Small,red,a
20241117100051327,6,Big,red,a
20241117100051326,7,Big,green,a
20241117100051325,2,Small,red,a
20241117100051324,7,Big,green,a
20241117100051323,1,Small,green,a
20241117100051322,3,Small,green,a
20241117100051321,8,Big,red,a
20241117100051320,8,Big,red,a
20241117100051319,6,Big,red,a
20241117100051318,0,Small,red,pink
20241117100051317,6,Big,red,a
20241117100051316,2,Small,red,a
20241117100051315,8,Big,red,a
20241117100051314,2,Small,red,a
20241117100051313,1,Small,green,a
20241117100051312,5,Big,green,pink
20241117100051311,4,Small,red,a
20241117100051310,0,Small,red,pink
20241117100051309,2,Small,red,a
20241117100051308,4,Small,red,a
20241117100051307,9,Big,green,a
20241117100051306,5,Big,green,pink
20241117100051305,1,Small,green,a
20241117100051304,6,Big,red,a
20241117100051303,7,Big,green,a
20241117100051302,8,Big,red,a
20241117100051301,0,Small,red,pink
20241117100051300,0,Small,red,pink
20241117100051299,4,Small,red,a
20241117100051298,4,Small,red,a
20241117100051297,5,Big,green,pink
20241117100051296,9,Big,green,a
20241117100051295,1,Small,green,a
20241117100051294,7,Big,green,a
20241117100051293,6,Big,red,a
20241117100051292,1,Small,green,a
20241117100051291,2,Small,red,a
20241117100051290,3,Small,green,a
20241117100051289,9,Big,green,a
20241117100051288,8,Big,red,a
20241117100051287,5,Big,green,pink
20241117100051286,7,Big,green,a
20241117100051285,9,Big,green,a
20241117100051284,5,Big,green,pink
20241117100051283,2,Small,red,a
20241117100051282,9,Big,green,a
20241117100051281,8,Big,red,a
20241117100051280,2,Small,red,a
20241117100051279,6,Big,red,a
20241117100051278,6,Big,red,a
20241117100051277,1,Small,green,a
20241117100051276,3,Small,green,a
20241117100051275,9,Big,green,a
20241117100051274,6,Big,red,a
20241117100051273,7,Big,green,a
20241117100051272,8,Big,red,a
20241117100051271,6,Big,red,a
20241117100051270,0,Small,red,pink
20241117100051269,4,Small,red,a
20241117100051268,3,Small,green,a
20241117100051267,3,Small,green,a
20241117100051266,2,Small,red,a
20241117100051265,2,Small,red,a
20241117100051264,6,Big,red,a
20241117100051263,4,Small,red,a
20241117100051262,6,Big,red,a
20241117100051261,6,Big,red,a
20241117100051260,9,Big,green,a
20241117100051259,3,Small,green,a
20241117100051258,0,Small,red,pink
20241117100051257,6,Big,red,a
20241117100051256,9,Big,green,a
20241117100051255,7,Big,green,a
20241117100051244,3,Small,green,a
20241117100051243,0,Small,red,pink
20241117100051242,3,Small,green,a
20241117100051241,9,Big,green,a
20241117100051240,5,Big,green,pink
20241117100051239,9,Big,green,a
20241117100051238,5,Big,green,pink
20241117100051237,9,Big,green,a
20241117100051236,7,Big,green,a
20241117100051235,6,Big,red,a
20241117100051234,4,Small,red,a
20241117100051233,6,Big,red,a
20241117100051232,0,Small,red,pink
20241117100051231,4,Small,red,a
20241117100051230,5,Big,green,pink
20241117100051229,0,Small,red,pink
20241117100051228,0,Small,red,pink
20241117100051227,5,Big,green,pink
20241117100051226,1,Small,green,a
20241117100051225,6,Big,red,a
20241117100051224,4,Small,red,a
20241117100051223,6,Big,red,a
20241117100051222,8,Big,red,a
20241117100051221,5,Big,green,pink
20241117100051220,0,Small,red,pink
20241117100051219,9,Big,green,a
20241117100051218,4,Small,red,a
20241117100051217,3,Small,green,a
20241117100051216,3,Small,green,a
20241117100051215,2,Small,red,a
20241117100051214,1,Small,green,a
20241117100051213,5,Big,green,pink
20241117100051212,8,Big,red,a
20241117100051211,5,Big,green,pink
20241117100051210,3,Small,green,a
20241117100051209,7,Big,green,a
20241117100051208,8,Big,red,a
20241117100051207,6,Big,red,a
20241117100051206,3,Small,green,a
20241117100051205,6,Big,red,a
20241117100051204,5,Big,green,pink
20241117100051203,9,Big,green,a
20241117100051202,9,Big,green,a
20241117100051201,7,Big,green,a
20241117100051200,2,Small,red,a
20241117100051199,4,Small,red,a
20241117100051198,4,Small,red,a
20241117100051197,9,Big,green,a
20241117100051196,5,Big,green,pink
20241117100051195,4,Small,red,a
20241117100051184,1,Small,green,a
20241117100051183,1,Small,green,a
20241117100051182,2,Small,red,a
20241117100051181,0,Small,red,pink
20241117100051180,0,Small,red,pink
20241117100051179,1,Small,green,a
20241117100051178,0,Small,red,pink
20241117100051177,8,Big,red,a
20241117100051176,2,Small,red,a
20241117100051175,7,Big,green,a
20241117100051174,0,Small,red,pink
20241117100051173,9,Big,green,a
20241117100051172,3,Small,green,a
20241117100051171,7,Big,green,a
20241117100051170,0,Small,red,pink
20241117100051169,7,Big,green,a
20241117100051168,4,Small,red,a
20241117100051167,6,Big,red,a
20241117100051166,1,Small,green,a
20241117100051165,5,Big,green,pink
20241117100051154,9,Big,green,a
20241117100051153,6,Big,red,a
20241117100051152,9,Big,green,a
20241117100051151,7,Big,green,a
20241117100051150,8,Big,red,a
20241117100051149,3,Small,green,a
20241117100051148,9,Big,green,a
20241117100051147,7,Big,green,a
20241117100051146,7,Big,green,a
20241117100051145,8,Big,red,a
20241117100051144,4,Small,red,a
20241117100051143,1,Small,green,a
20241117100051142,8,Big,red,a
20241117100051141,2,Small,red,a
20241117100051140,9,Big,green,a
20241117100051139,5,Big,green,pink
20241117100051138,7,Big,green,a
20241117100051137,9,Big,green,a
20241117100051136,0,Small,red,pink
20241117100051135,1,Small,green,a
20241117100051134,8,Big,red,a
20241117100051133,9,Big,green,a
20241117100051132,4,Small,red,a
20241117100051131,6,Big,red,a
20241117100051130,8,Big,red,a
20241117100051129,8,Big,red,a
20241117100051128,8,Big,red,a
20241117100051127,5,Big,green,pink
20241117100051126,7,Big,green,a
20241117100051125,2,Small,red,a
20241117100051124,0,Small,red,pink
20241117100051123,4,Small,red,a
20241117100051122,5,Big,green,pink
20241117100051121,1,Small,green,a
20241117100051120,1,Small,green,a
20241117100051119,3,Small,green,a
20241117100051118,1,Small,green,a
20241117100051117,9,Big,green,a
20241117100051116,9,Big,green,a
20241117100051115,1,Small,green,a
20241117100051114,7,Big,green,a
20241117100051113,4,Small,red,a
20241117100051112,1,Small,green,a
20241117100051111,7,Big,green,a
20241117100051110,9,Big,green,a
20241117100051109,6,Big,red,a
20241117100051108,7,Big,green,a
20241117100051107,4,Small,red,a
20241117100051106,9,Big,green,a
20241117100051105,6,Big,red,a
20241117100051104,1,Small,green,a
20241117100051103,1,Small,green,a
20241117100051102,9,Big,green,a
20241117100051101,0,Small,red,pink
20241117100051100,0,Small,red,pink
20241117100051099,4,Small,red,a
20241117100051098,8,Big,red,a
20241117100051097,9,Big,green,a
20241117100051096,8,Big,red,a
20241117100051095,4,Small,red,a
20241117100051094,3,Small,green,a
20241117100051093,9,Big,green,a
20241117100051092,5,Big,green,pink
20241117100051091,1,Small,green,a
20241117100051090,5,Big,green,pink
20241117100051089,1,Small,green,a
20241117100051088,7,Big,green,a
20241117100051087,3,Small,green,a
20241117100051086,9,Big,green,a
20241117100051085,3,Small,green,a
20241117100051084,3,Small,green,a
20241117100051083,1,Small,green,a
20241117100051082,0,Small,red,pink
20241117100051081,1,Small,green,a
20241117100051080,7,Big,green,a
20241117100051079,8,Big,red,a
20241117100051078,9,Big,green,a
20241117100051077,2,Small,red,a
20241117100051076,5,Big,green,pink
20241117100051075,8,Big,red,a
20241117100051074,9,Big,green,a
20241117100051073,9,Big,green,a
20241117100051072,6,Big,red,a
20241117100051071,3,Small,green,a
20241117100051070,7,Big,green,a
20241117100051069,4,Small,red,a
20241117100051068,5,Big,green,pink
20241117100051067,9,Big,green,a
20241117100051066,7,Big,green,a
20241117100051065,4,Small,red,a
20241117100051064,8,Big,red,a
20241117100051063,2,Small,red,a
20241117100051062,1,Small,green,a
20241117100051061,8,Big,red,a
20241117100051060,5,Big,green,pink
20241117100051059,9,Big,green,a
20241117100051058,1,Small,green,a
20241117100051057,2,Small,red,a
20241117100051056,9,Big,green,a
20241117100051055,5,Big,green,pink
20241117100051054,4,Small,red,a
20241117100051053,3,Small,green,a
20241117100051052,6,Big,red,a
20241117100051051,5,Big,green,pink
20241117100051050,1,Small,green,a
20241117100051049,3,Small,green,a
20241117100051048,4,Small,red,a
20241117100051047,1,Small,green,a
20241117100051046,8,Big,red,a
20241117100051045,7,Big,green,a
20241117100051044,7,Big,green,a
20241117100051043,2,Small,red,a
20241117100051042,5,Big,green,pink
20241117100051041,7,Big,green,a
20241117100051040,2,Small,red,a
20241117100051039,2,Small,red,a
20241117100051038,7,Big,green,a
20241117100051037,3,Small,green,a
20241117100051036,3,Small,green,a
20241117100051035,6,Big,red,a
20241117100051034,5,Big,green,pink
20241117100051033,0,Small,red,pink
20241117100051032,1,Small,green,a
20241117100051031,8,Big,red,a
20241117100051030,3,Small,green,a
20241117100051029,1,Small,green,a
20241117100051028,5,Big,green,pink
20241117100051027,4,Small,red,a
20241117100051026,8,Big,red,a
20241117100051025,1,Small,green,a
20241117100051024,1,Small,green,a
20241117100051023,8,Big,red,a
20241117100051022,3,Small,green,a
20241117100051021,1,Small,green,a
20241117100051020,6,Big,red,a
20241117100051019,5,Big,green,pink
20241117100051018,0,Small,red,pink
20241117100051017,6,Big,red,a
20241117100051016,8,Big,red,a
20241117100051015,6,Big,red,a
20241117100051014,9,Big,green,a
20241117100051013,4,Small,red,a
20241117100051012,0,Small,red,pink
20241117100051011,5,Big,green,pink
20241117100051010,1,Small,green,a
20241117100051009,0,Small,red,pink
20241117100051008,6,Big,red,a
20241117100051007,1,Small,green,a
20241117100051006,8,Big,red,a
20241117100051005,8,Big,red,a
20241117100051004,5,Big,green,pink
20241117100051003,3,Small,green,a
20241117100051002,0,Small,red,pink
20241117100051001,8,Big,red,a
20241117100051000,2,Small,red,a
20241117100050999,7,Big,green,a
20241117100050998,0,Small,red,pink
20241117100050997,9,Big,green,a
20241117100050996,2,Small,red,a
20241117100050995,8,Big,red,a
20241117100050994,0,Small,red,pink
20241117100050993,1,Small,green,a
20241117100050992,0,Small,red,pink
20241117100050991,5,Big,green,pink
20241117100050990,5,Big,green,pink
20241117100050989,8,Big,red,a
20241117100050988,5,Big,green,pink
20241117100050987,8,Big,red,a
20241117100050986,6,Big,red,a
20241117100050985,6,Big,red,a
20241117100050984,7,Big,green,a
20241117100050983,8,Big,red,a
20241117100050982,0,Small,red,pink
20241117100050981,2,Small,red,a
20241117100050980,7,Big,green,a
20241117100050979,0,Small,red,pink
20241117100050978,5,Big,green,pink
20241117100050977,1,Small,green,a
20241117100050976,1,Small,green,a
20241117100050975,8,Big,red,a
20241117100050974,2,Small,red,a
20241117100050973,3,Small,green,a
20241117100050972,8,Big,red,a
20241117100050971,6,Big,red,a
20241117100050970,3,Small,green,a
20241117100050969,2,Small,red,a
20241117100050968,3,Small,green,a
20241117100050967,6,Big,red,a
20241117100050966,2,Small,red,a
20241117100050965,0,Small,red,pink
20241117100050964,8,Big,red,a
20241117100050963,8,Big,red,a
20241117100050962,6,Big,red,a
20241117100050961,1,Small,green,a
20241117100050960,7,Big,green,a
20241117100050959,7,Big,green,a
20241117100050958,8,Big,red,a
20241117100050957,1,Small,green,a
20241117100050956,6,Big,red,a
20241117100050955,8,Big,red,a
20241117100050954,9,Big,green,a
20241117100050953,7,Big,green,a
20241117100050952,7,Big,green,a
20241117100050951,8,Big,red,a
20241117100050950,2,Small,red,a
20241117100050949,5,Big,green,pink
20241117100050948,9,Big,green,a
20241117100050947,9,Big,green,a
20241117100050946,3,Small,green,a
20241117100050945,4,Small,red,a
20241117100050944,7,Big,green,a
20241117100050943,5,Big,green,pink
20241117100050942,6,Big,red,a
20241117100050941,5,Big,green,pink
20241117100050940,4,Small,red,a
20241117100050939,8,Big,red,a
20241117100050938,1,Small,green,a
20241117100050937,5,Big,green,pink
20241117100050936,5,Big,green,pink
20241117100050935,5,Big,green,pink
20241117100050934,7,Big,green,a
20241117100050933,7,Big,green,a
20241117100050932,9,Big,green,a
20241117100050931,8,Big,red,a
20241117100050930,3,Small,green,a
20241117100050929,9,Big,green,a
20241117100050928,3,Small,green,a
20241117100050927,2,Small,red,a
20241117100050926,3,Small,green,a
20241117100050925,5,Big,green,pink
20241117100050924,9,Big,green,a
20241117100050923,8,Big,red,a
20241117100050922,7,Big,green,a
20241117100050921,8,Big,red,a
20241117100050920,5,Big,green,pink
20241117100050919,7,Big,green,a
20241117100050918,3,Small,green,a
20241117100050917,2,Small,red,a
20241117100050916,8,Big,red,a
20241117100050915,2,Small,red,a
20241117100050914,8,Big,red,a
20241117100050913,0,Small,red,pink
20241117100050912,1,Small,green,a
20241117100050911,0,Small,red,pink
20241117100050910,9,Big,green,a
20241117100050909,1,Small,green,a
20241117100050908,0,Small,red,pink
20241117100050907,7,Big,green,a
20241117100050906,2,Small,red,a
20241117100050905,4,Small,red,a
20241117100050904,5,Big,green,pink
20241117100050903,8,Big,red,a
20241117100050902,5,Big,green,pink
20241117100050901,2,Small,red,a
20241117100050900,1,Small,green,a
20241117100050899,8,Big,red,a
20241117100050898,3,Small,green,a
20241117100050897,7,Big,green,a
20241117100050896,1,Small,green,a
20241117100050895,9,Big,green,a
20241117100050894,3,Small,green,a
20241117100050893,9,Big,green,a
20241117100050892,2,Small,red,a
20241117100050891,2,Small,red,a
20241117100050890,5,Big,green,pink
20241117100050889,1,Small,green,a
20241117100050888,8,Big,red,a
20241117100050887,9,Big,green,a
20241117100050886,4,Small,red,a
20241117100050885,9,Big,green,a
20241117100050884,0,Small,red,pink
20241117100050883,4,Small,red,a
20241117100050882,8,Big,red,a
20241117100050881,9,Big,green,a
20241117100050880,7,Big,green,a
20241117100050879,7,Big,green,a
20241117100050878,6,Big,red,a
20241117100050877,0,Small,red,pink
20241117100050876,4,Small,red,a
20241117100050875,3,Small,green,a
20241117100050874,2,Small,red,a
20241117100050873,1,Small,green,a
20241117100050872,3,Small,green,a
20241117100050871,2,Small,red,a
20241117100050870,4,Small,red,a
20241117100050869,2,Small,red,a
20241117100050868,6,Big,red,a
20241117100050867,5,Big,green,pink
20241117100050866,2,Small,red,a
20241117100050865,5,Big,green,pink
20241117100050864,3,Small,green,a
20241117100050863,7,Big,green,a
20241117100050862,7,Big,green,a
20241117100050861,5,Big,green,pink
20241117100050860,6,Big,red,a
20241117100050859,2,Small,red,a
20241117100050858,0,Small,red,pink
20241117100050857,3,Small,green,a
20241117100050856,5,Big,green,pink
20241117100050855,0,Small,red,pink
20241117100050854,6,Big,red,a
20241117100050853,4,Small,red,a
20241117100050852,4,Small,red,a
20241117100050851,5,Big,green,pink
20241117100050850,2,Small,red,a
20241117100050849,2,Small,red,a
20241117100050848,3,Small,green,a
20241117100050847,7,Big,green,a
20241117100050846,4,Small,red,a
20241117100050845,4,Small,red,a
20241117100050844,9,Big,green,a
20241117100050843,4,Small,red,a
20241117100050842,0,Small,red,pink
20241117100050841,4,Small,red,a
20241117100050840,9,Big,green,a
20241117100050839,1,Small,green,a
20241117100050838,0,Small,red,pink
20241117100050837,3,Small,green,a
20241117100050836,4,Small,red,a
20241117100050826,6,Big,red,a
20241117100050825,7,Big,green,a
20241117100050824,2,Small,red,a
20241117100050823,1,Small,green,a
20241117100050822,7,Big,green,a
20241117100050821,8,Big,red,a
20241117100050820,9,Big,green,a
20241117100050819,6,Big,red,a
20241117100050818,2,Small,red,a
20241117100050817,8,Big,red,a
20241117100050816,9,Big,green,a
20241117100050815,8,Big,red,a
20241117100050814,1,Small,green,a
20241117100050813,0,Small,red,pink
20241117100050812,8,Big,red,a
20241117100050811,1,Small,green,a
20241117100050810,0,Small,red,pink
20241117100050809,4,Small,red,a
20241117100050808,2,Small,red,a
20241117100050807,3,Small,green,a
20241117100050806,0,Small,red,pink
20241117100050805,0,Small,red,pink
20241117100050804,6,Big,red,a
20241117100050803,3,Small,green,a
20241117100050802,2,Small,red,a
20241117100050801,7,Big,green,a
20241117100050800,8,Big,red,a
20241117100050799,4,Small,red,a
20241117100050798,4,Small,red,a
20241117100050797,4,Small,red,a
20241117100050796,2,Small,red,a
20241117100050795,1,Small,green,a
20241117100050794,1,Small,green,a
20241117100050793,3,Small,green,a
20241117100050792,5,Big,green,pink
20241117100050791,2,Small,red,a
20241117100050790,2,Small,red,a
20241117100050789,5,Big,green,pink
20241117100050788,9,Big,green,a
20241117100050787,3,Small,green,a
20241117100050786,8,Big,red,a
20241117100050785,3,Small,green,a
20241117100050784,7,Big,green,a
20241117100050783,7,Big,green,a
20241117100050782,8,Big,red,a
20241117100050781,4,Small,red,a
20241117100050780,2,Small,red,a
20241117100050779,7,Big,green,a
20241117100050778,2,Small,red,a
20241117100050777,6,Big,red,a
20241117100050776,8,Big,red,a
20241117100050775,8,Big,red,a
20241117100050774,0,Small,red,pink
20241117100050773,0,Small,red,pink
20241117100050772,8,Big,red,a
20241117100050771,5,Big,green,pink
20241117100050770,4,Small,red,a
20241117100050769,7,Big,green,a
20241117100050768,4,Small,red,a
20241117100050767,2,Small,red,a
20241117100050766,7,Big,green,a
20241117100050765,9,Big,green,a
20241117100050764,4,Small,red,a
20241117100050763,2,Small,red,a
20241117100050762,4,Small,red,a
20241117100050761,2,Small,red,a
20241117100050760,2,Small,red,a
20241117100050759,9,Big,green,a
20241117100050758,7,Big,green,a
20241117100050757,3,Small,green,a
20241117100050746,8,Big,red,a
20241117100050745,4,Small,red,a
20241117100050744,6,Big,red,a
20241117100050743,6,Big,red,a
20241117100050742,1,Small,green,a
20241117100050741,0,Small,red,pink
20241117100050740,7,Big,green,a
20241117100050739,5,Big,green,pink
20241117100050738,2,Small,red,a
20241117100050737,6,Big,red,a
20241117100050756,3,Small,green,a
20241117100050755,3,Small,green,a
20241117100050754,1,Small,green,a
20241117100050753,3,Small,green,a
20241117100050752,6,Big,red,a
20241117100050751,9,Big,green,a
20241117100050750,1,Small,green,a
20241117100050749,3,Small,green,a
20241117100050748,4,Small,red,a
20241117100050747,7,Big,green,a
20241117100050726,1,Small,green,a
20241117100050725,1,Small,green,a
20241117100050724,4,Small,red,a
20241117100050723,4,Small,red,a
20241117100050722,6,Big,red,a
20241117100050721,1,Small,green,a
20241117100050720,6,Big,red,a
20241117100050719,7,Big,green,a
20241117100050718,8,Big,red,a
20241117100050717,1,Small,green,a
20241117100050716,5,Big,green,pink
20241117100050715,3,Small,green,a
20241117100050714,5,Big,green,pink
20241117100050713,7,Big,green,a
20241117100050712,5,Big,green,pink
20241117100050711,9,Big,green,a
20241117100050710,7,Big,green,a
20241117100050709,4,Small,red,a
20241117100050708,8,Big,red,a
20241117100050707,5,Big,green,pink
20241117100050706,1,Small,green,a
20241117100050705,8,Big,red,a
20241117100050704,8,Big,red,a
20241117100050703,7,Big,green,a
20241117100050702,0,Small,red,pink
20241117100050701,3,Small,green,a
20241117100050700,7,Big,green,a
20241117100050699,4,Small,red,a
20241117100050698,4,Small,red,a
20241117100050697,4,Small,red,a
20241117100050696,2,Small,red,a
20241117100050695,0,Small,red,pink
20241117100050694,5,Big,green,pink
20241117100050693,3,Small,green,a
20241117100050692,8,Big,red,a
20241117100050691,2,Small,red,a
20241117100050690,4,Small,red,a
20241117100050689,2,Small,red,a
20241117100050688,5,Big,green,pink
20241117100050687,6,Big,red,a
20241117100050686,3,Small,green,a
20241117100050685,4,Small,red,a
20241117100050684,6,Big,red,a
20241117100050683,4,Small,red,a
20241117100050682,7,Big,green,a
20241117100050681,3,Small,green,a
20241117100050680,6,Big,red,a
20241117100050679,7,Big,green,a
20241117100050678,6,Big,red,a
20241117100050677,0,Small,red,pink
20241117100050676,0,Small,red,pink
20241117100050675,7,Big,green,a
20241117100050674,4,Small,red,a
20241117100050673,2,Small,red,a
20241117100050672,9,Big,green,a
20241117100050671,0,Small,red,pink
20241117100050670,3,Small,green,a
20241117100050669,3,Small,green,a
20241117100050668,7,Big,green,a
20241117100050667,3,Small,green,a
20241117100050666,1,Small,green,a
20241117100050665,6,Big,red,a
20241117100050664,2,Small,red,a
20241117100050663,1,Small,green,a
20241117100050662,4,Small,red,a
20241117100050661,4,Small,red,a
20241117100050660,3,Small,green,a
20241117100050659,6,Big,red,a
20241117100050658,4,Small,red,a
20241117100050657,9,Big,green,a
20241117100050656,6,Big,red,a
20241117100050655,4,Small,red,a
20241117100050654,6,Big,red,a
20241117100050653,5,Big,green,pink
20241117100050652,2,Small,red,a
20241117100050651,4,Small,red,a
20241117100050650,0,Small,red,pink
20241117100050649,7,Big,green,a
20241117100050648,7,Big,green,a
20241117100050647,6,Big,red,a
20241117100050636,8,Big,red,a
20241117100050635,7,Big,green,a
20241117100050634,8,Big,red,a
20241117100050633,4,Small,red,a
20241117100050632,6,Big,red,a
20241117100050631,3,Small,green,a
20241117100050630,3,Small,green,a
20241117100050629,3,Small,green,a
20241117100050628,2,Small,red,a
20241117100050627,4,Small,red,a
20241117100050626,1,Small,green,a
20241117100050625,5,Big,green,pink
20241117100050624,2,Small,red,a
20241117100050623,8,Big,red,a
20241117100050622,7,Big,green,a
20241117100050621,4,Small,red,a
20241117100050620,8,Big,red,a
20241117100050619,4,Small,red,a
20241117100050618,3,Small,green,a
20241117100050617,2,Small,red,a
20241117100050606,8,Big,red,a
20241117100050605,1,Small,green,a
20241117100050604,3,Small,green,a
20241117100050603,5,Big,green,pink
20241117100050602,9,Big,green,a
20241117100050601,6,Big,red,a
20241117100050600,5,Big,green,pink
20241117100050599,4,Small,red,a
20241117100050598,4,Small,red,a
20241117100050597,1,Small,green,a
20241117100050596,8,Big,red,a
20241117100050595,1,Small,green,a
20241117100050594,1,Small,green,a
20241117100050593,9,Big,green,a
20241117100050592,4,Small,red,a
20241117100050591,8,Big,red,a
20241117100050590,5,Big,green,pink
20241117100050589,0,Small,red,pink
20241117100050588,5,Big,green,pink
20241117100050587,3,Small,green,a
20241117100050586,9,Big,green,a
20241117100050585,7,Big,green,a
20241117100050584,4,Small,red,a
20241117100050583,5,Big,green,pink
20241117100050582,5,Big,green,pink
20241117100050581,6,Big,red,a
20241117100050580,9,Big,green,a
20241117100050579,1,Small,green,a
20241117100050578,8,Big,red,a
20241117100050577,2,Small,red,a
20241117100050576,1,Small,green,a
20241117100050575,5,Big,green,pink
20241117100050574,1,Small,green,a
20241117100050573,0,Small,red,pink
20241117100050572,5,Big,green,pink
20241117100050571,5,Big,green,pink
20241117100050570,2,Small,red,a
20241117100050569,2,Small,red,a
20241117100050568,1,Small,green,a
20241117100050567,5,Big,green,pink
20241117100050556,4,Small,red,a
20241117100050555,6,Big,red,a
20241117100050554,3,Small,green,a
20241117100050553,6,Big,red,a
20241117100050552,5,Big,green,pink
20241117100050551,6,Big,red,a
20241117100050550,9,Big,green,a
20241117100050549,2,Small,red,a
20241117100050548,9,Big,green,a
20241117100050547,6,Big,red,a
20241117100050546,6,Big,red,a
20241117100050545,7,Big,green,a
20241117100050544,2,Small,red,a
20241117100050543,3,Small,green,a
20241117100050542,3,Small,green,a
20241117100050541,1,Small,green,a
20241117100050540,3,Small,green,a
20241117100050539,9,Big,green,a
20241117100050538,5,Big,green,pink
20241117100050537,2,Small,red,a
20241117100050536,1,Small,green,a
20241117100050535,1,Small,green,a
20241117100050534,2,Small,red,a
20241117100050533,7,Big,green,a
20241117100050532,7,Big,green,a
20241117100050531,2,Small,red,a
20241117100050530,4,Small,red,a
20241117100050529,8,Big,red,a
20241117100050528,0,Small,red,pink
20241117100050527,9,Big,green,a
20241117100050526,4,Small,red,a
20241117100050525,5,Big,green,pink
20241117100050524,6,Big,red,a
20241117100050523,3,Small,green,a
20241117100050522,3,Small,green,a
20241117100050521,5,Big,green,pink
20241117100050520,6,Big,red,a
20241117100050519,2,Small,red,a
